company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
laser and light,1,False,False,1.0,0.0,0.0,laser and light kent ltd,True,,No Score,False
dna workplace,1,False,False,1.0,4.0,60.83333333333333,,False,4.3,4-5,True
ingleton pharmacy,1,True,False,1.0,0.0,0.0,,False,4.0,3-4,True
.0001 ace-thetix,1,True,False,3.0,2.0,48.38709677419355,,False,,No Score,False
everything genetic ltd,1,False,False,4.0,3.0,79.70153918274866,,False,,No Score,False
jdoc medical limited (t/a jdoc365),1,False,False,5.0,1.0,12.195121951219512,,False,,No Score,False
covid testing laboraratories,1,True,False,4.0,3.0,41.37931034482759,,False,4.5,4-5,True
anglia dna services,0,True,False,1.0,5.0,55.55555555555556,,False,4.3,4-5,True
1west end medical practice uk,1,True,False,3.0,0.0,0.0,west end medical practice (uk) ltd,True,,No Score,False
msi clinics,0,True,False,3.0,5.0,350.0,,False,3.9,3-4,True
121 covicall,0,True,False,1.0,5.0,577.2727272727273,,False,,No Score,False
travel 19,1,False,False,2.0,1.0,14.87550542668652,devonways travel (1982) limited,True,,No Score,False
pcrtravel ltd london,1,True,False,1.0,3.0,609.5238095238095,,False,,No Score,False
eurofins forensic services,1,True,False,3.0,2.0,233.67037411526783,,False,2.0,1-2,True
west midlands,1,False,False,5.0,1.0,6.502242152466364,west midlands anaesthesia ltd,True,,No Score,False
xana medtec,1,False,False,2.0,3.0,68.10344827586206,,False,3.2,3-4,True
hampshire travel clinic,1,False,False,1.0,0.0,0.0,,False,4.0,3-4,True
heart lung centre,1,False,False,1.0,0.0,0.0,,False,,No Score,False
private-testing-providers london cloudapps digital refresh,1,True,False,2.0,0.0,0.0,,False,1.8,1-2,True
the regenerative clinic,1,True,False,1.0,1.0,32.27272727272727,the regenerative clinic ltd,True,3.8,3-4,True
future health technologies,1,True,False,2.0,2.0,163.1578947368421,,False,2.9,2-3,True
247 travel tests,1,False,False,2.0,3.0,70.93023255813954,uk travel tests ltd,True,2.7,2-3,True
oxford covid tests,1,True,False,2.0,1.0,18.181818181818183,,False,,No Score,False
+44 covid test,0,False,False,4.0,5.0,74.74747474747475,,False,1.5,1-2,True
london medical laboratory / private coronavirus tests,1,True,False,3.0,2.0,35.50295857988166,,False,,No Score,False
@harley street nurses (t/a harley street nurses ltd),1,True,False,4.0,0.0,0.0,,False,4.3,4-5,True
atropa blood clinic,1,False,False,1.0,0.0,0.0,,False,4.6,4-5,True
randox health airport testing,1,True,False,1.0,0.0,0.0,,False,3.3,3-4,True
covid test,0,True,False,42.0,11.0,127.08333333333331,covid testing laboratories limited,True,,No Score,False
assured screening,1,False,False,3.0,1.0,13.262599469496026,,False,,No Score,False
local pcr,1,True,False,1.0,1.0,7.142857142857142,,False,4.7,4-5,True
gpdq,1,False,False,2.0,0.0,0.0,,False,3.5,3-4,True
mediscan diagnostic services,1,True,False,1.0,0.0,0.0,,False,,No Score,False
sussex healthcare solutions ltd,1,True,True,2.0,2.0,67.79661016949152,,False,,No Score,False
harper institute ltd,1,False,False,1.0,0.0,0.0,,False,,No Score,False
my private chemist,1,False,False,1.0,2.0,62.5,,False,,No Score,False
your gp circle,1,False,False,1.0,0.0,0.0,,False,,No Score,False
the pharmacy at mayfair and clinic,1,False,False,1.0,0.0,0.0,,False,,No Score,False
dr. wayne cotrell & co.,1,True,False,2.0,0.0,0.0,,False,,No Score,False
family medics,1,True,False,1.0,1.0,20.100502512562816,your family medics limited,True,3.2,3-4,True
abicare health solutions ltd (riva health),1,False,False,3.0,4.0,241.33333333333331,,False,,No Score,False
sorcha biotech,1,True,False,1.0,0.0,0.0,,False,4.4,4-5,True
dgc health ltd,1,True,False,2.0,1.0,12.0,,False,4.6,4-5,True
*everything genetic ltd,1,False,False,3.0,3.0,30.696670076145026,,False,,No Score,False
